OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI
-,-,-,-,-,-,875,12320,13900,150,29000,5375,2,2,38200,0,2,102,28039,12960,14733
1,-,-,-,-,-,225,11818,14025,875,29500,10275,2,2,9375,0,2,97,5582,1881,2174
110,-,-,-,-,-,225,11319,13805,875,30000,5300,2,2,9650,0,2,93,5432,2510,3337
-,-,-,-,-,-,200,10817,13264,875,30500,12525,2,2,1025,0,2,89,3830,779,952
53,-,-,-,-,-,25,11507,11655,75,31000,75,2,2,3000,0,2,85,2530,299,792
4,-,-,-,-,-,25,10788,11103,25,31500,675,2,2,1175,-,2,82,86,-,12
31,-,-,-,-,-,200,9727,10869,175,32000,5725,2,2,150,0,2,78,1824,412,1286
-,-,-,-,-,-,200,8818,10849,175,32500,2750,2,2,25,-1,2,74,94,-,35
73,-,-,-,-,-,50,8578,9656,50,33000,50,2,2,4575,-1,2,70,1010,67,1196
146,-,-,-,-,-,50,8046,9781,50,33500,350,2,2,2000,0,2,67,850,120,482
581,-,5,-,8550,80,125,8538,8582,50,34000,325,2,2,1025,-1,2,63,1132,57,2709
271,-,-,-,-,-,125,8035,8085,50,34500,1000,2,3,675,0,3,59,350,3,984
1412,-,4,-,7576,101,50,7535,7560,100,35000,1150,3,3,200,0,3,56,1477,198,4703
-,-,-,-,-,-,750,6240,9510,750,35100,375,2,-,-,-,-,-,-,-,37
-,-,-,-,-,-,750,5552,9392,875,35200,600,1,-,-,-,-,-,-,-,17
-,-,-,-,-,-,750,6041,8035,750,35300,600,1,-,-,-,-,-,-,-,18
-,-,-,-,-,-,750,6361,9107,1625,35400,600,2,3,125,0,3,-,1,-,41
255,-,4,-,7050,30,125,7044,7077,50,35500,550,3,3,50,0,3,52,930,20,1379
5,-,-,-,-,-,750,6157,7519,750,35600,850,2,-,-,-,-,-,-,-,22
-,-,-,-,-,-,750,6062,7605,750,35700,600,2,-,-,-,-,-,-,-,25
-,-,-,-,-,-,750,5959,7478,750,35800,600,2,-,-,0,3,-,30,-,81
-,-,-,-,-,-,750,5861,7393,500,35900,50,3,-,-,-,-,-,-,-,92
1906,2,19,-,6563,15,100,6546,6563,25,36000,2850,3,3,750,-1,3,49,762,172,5937
-,-,-,-,-,-,750,5661,6999,750,36100,450,2,5,800,-,3,-,2,-,88
-,-,-,-,-,-,750,5564,6872,750,36200,375,2,-,-,-,-,-,-,-,61
-,-,-,-,-,-,1625,4712,6782,750,36300,375,2,-,-,-,-,-,-,-,63
-,-,-,-,-,-,750,5363,6840,750,36400,600,2,-,-,-,-,-,-,-,124
351,-,2,-,6061,-39,50,6048,6059,50,36500,150,3,3,275,-1,3,46,735,65,2125
2,-,-,-,-,-,50,5426,6337,50,36600,275,3,3,350,0,3,45,78,5,73
-,-,-,-,-,-,50,5376,6016,50,36700,100,3,3,425,-1,3,45,99,20,70
2,-,-,-,-,-,50,5267,5913,50,36800,275,3,3,800,-2,3,44,89,18,145
3,-,-,-,-,-,750,4862,7240,750,36900,-,-,3,1450,-3,3,43,91,41,107
1220,-,-,-,-,-,200,5555,5570,50,37000,2975,3,3,50,-1,3,43,1292,101,10768
-,-,-,-,-,-,50,4974,6665,50,37100,150,3,3,275,-1,3,42,72,4,85
2,-,-,-,-,-,50,4757,5764,50,37200,250,3,4,25,-1,3,-,8,-,213
2,-,-,-,-,-,50,4174,6496,50,37300,50,3,4,2800,-1,3,41,110,-11,140
3,-,-,-,-,-,50,4603,6365,50,37400,175,3,4,850,-1,4,-,15,-,87
426,-,1,-,5068,-25,50,5053,5068,25,37500,1200,3,4,4275,-1,3,39,2279,-181,5263
1,-,-,-,-,-,50,4040,5061,50,37600,150,3,4,275,-1,4,39,179,-4,79
2,-,-,-,-,-,50,4384,5081,50,37700,25,4,4,550,-2,4,38,160,-11,246
3,-,-,-,-,-,50,4231,5842,50,37800,125,4,4,375,-1,4,38,146,22,190
7,-,-,-,-,-,50,4175,4760,50,37900,50,4,4,25,-1,4,37,182,13,194
1623,-,1,-,4577,72,50,4551,4567,50,38000,2325,4,4,950,-1,4,36,4233,418,13517
13,-,-,-,-,-,50,3979,4532,50,38100,175,4,4,75,-2,4,36,615,34,442
7,-,-,-,-,-,50,3558,4447,50,38200,150,4,4,650,-1,4,35,301,34,174
13,-,-,-,-,-,50,3788,4342,50,38300,925,4,4,425,-2,4,34,784,39,337
8,-,-,-,-,-,50,3908,4208,450,38400,25,4,4,2150,-1,4,34,265,19,224
640,-4,10,-,4067,43,50,4040,4074,75,38500,1850,4,4,2250,-2,4,33,11995,2888,13892
30,-,-,-,-,-,50,3929,3983,25,38600,2100,4,5,750,-2,4,32,613,52,589
