OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI
-,-,-,-,-,-,875,12564,13662,200,29000,166275,2,2,55125,0,2,99,151295,20738,22511
1,-,-,-,-,-,875,11950,13910,875,29500,5400,2,2,24000,0,2,95,37712,4205,4498
110,-,-,-,-,-,400,11471,12601,75,30000,3500,2,2,9800,0,2,91,28359,4599,5426
-,-,-,-,-,-,875,10954,13148,500,30500,5950,2,2,61650,0,2,86,26939,4848,5021
53,-,-,-,-,-,900,11260,11603,25,31000,150,2,2,3325,0,2,83,13348,677,1170
4,-,-,-,-,-,900,10741,10972,900,31500,1050,2,2,900,0,2,79,6158,464,476
31,-,-,-,-,-,125,10097,10495,125,32000,150,2,2,4150,0,2,75,6204,1118,1992
-,-,-,-,-,-,875,8957,10736,875,32500,325,2,2,225,-1,2,72,984,170,205
73,-,1,-,9393,-116,625,9290,9446,125,33000,250,2,2,675,-1,2,69,2563,74,1203
146,-,-,-,-,-,625,8756,9097,500,33500,800,2,2,700,0,2,65,2470,128,490
580,-1,7,103,8500,30,125,8287,8397,25,34000,25,2,2,450,-1,2,61,2557,-15,2637
271,-,2,95,7988,-6,125,7853,7901,125,34500,200,2,2,50,-1,2,58,1583,36,1017
1406,-6,83,-,7400,-75,125,7356,7393,25,35000,3525,2,2,200,-1,2,54,4089,611,5116
-,-,-,-,-,-,750,6560,7363,900,35100,300,2,3,100,0,3,55,18,4,41
-,-,-,-,-,-,750,5956,8871,750,35200,600,2,-,-,0,3,54,10,-,17
-,-,-,-,-,-,750,6369,7734,750,35300,600,2,-,-,-,-,-,-,-,18
-,-,-,-,-,-,750,6580,7169,750,35400,50,3,3,100,-1,3,52,33,-2,39
255,-,4,94,7050,30,125,6822,6890,25,35500,200,2,3,650,-1,2,51,1557,35,1394
5,-,-,-,-,-,750,6449,7224,750,35600,25,2,-,-,-,-,-,-,-,22
-,-,-,-,-,-,750,6350,7315,750,35700,600,2,-,-,-,-,-,-,-,25
-,-,-,-,-,-,750,6450,6666,900,35800,50,2,3,100,-1,3,49,105,-17,64
-,-,-,-,-,-,750,6027,7292,750,35900,300,2,-,-,0,3,48,117,16,108
1893,-11,34,72,6377,-171,50,6358,6375,25,36000,800,2,3,125,-1,3,48,4824,403,6168
