OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI
-,-,-,-,-,-,875,12360,13883,200,29000,46950,2,2,81900,0,2,100,56924,14081,15854
1,-,-,-,-,-,875,11836,14010,875,29500,32425,2,2,3950,0,2,96,11165,2502,2795
110,-,-,-,-,-,875,11340,13788,875,30000,6375,2,2,12200,0,2,92,10596,4128,4955
-,-,-,-,-,-,875,10838,13248,875,30500,8900,2,2,21125,0,2,88,8677,4261,4434
53,-,-,-,-,-,25,11449,11631,25,31000,3275,2,2,5750,0,2,84,3507,531,1024
4,-,-,-,-,-,25,10719,11063,25,31500,25,2,2,425,0,2,81,387,178,190
31,-,-,-,-,-,700,9978,10736,150,32000,325,2,2,7050,0,2,77,2315,834,1708
-,-,-,-,-,-,875,8839,10834,875,32500,50,2,2,1400,-1,2,73,224,155,190
73,-,-,-,-,-,125,9184,9597,125,33000,250,2,2,2250,-1,2,70,1378,52,1181
146,-,-,-,-,-,125,8512,9475,125,33500,1100,2,2,100,0,2,66,1321,170,532
580,-1,7,-,8500,30,250,8467,8540,125,34000,425,2,2,650,-1,2,62,1488,-2,2650
271,-,2,-,7988,-6,125,7988,8047,125,34500,425,2,2,600,0,2,59,763,32,1013
1408,-4,78,-,7504,29,125,7487,7532,100,35000,650,3,3,900,-1,3,56,2705,596,5101
-,-,-,-,-,-,750,6295,9434,750,35100,75,3,-,-,-,-,-,-,-,37
-,-,-,-,-,-,750,5639,9304,750,35200,125,3,-,-,0,3,55,10,-,17
-,-,-,-,-,-,750,6095,7987,750,35300,900,2,-,-,-,-,-,-,-,18
-,-,-,-,-,-,750,6415,9022,750,35400,600,2,4,250,-1,2,52,10,-4,37
255,-,4,-,7050,30,125,6988,7032,25,35500,75,3,3,500,0,3,52,1205,32,1391
5,-,-,-,-,-,750,6208,7473,750,35600,900,2,-,-,-,-,-,-,-,22
