OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI
-,-,-,-,-,-,750,6112,7561,750,35700,900,2,-,-,-,-,-,-,-,25
-,-,-,-,-,-,750,6010,7431,750,35800,900,2,3,200,0,3,51,75,-15,66
-,-,-,-,-,-,750,5912,7372,750,35900,25,3,-,-,0,3,50,44,-,92
1901,-3,31,-,6513,-35,125,6499,6518,25,36000,925,3,3,2025,-1,3,49,1789,401,6166
-,-,-,-,-,-,750,5709,6955,750,36100,900,2,3,200,-1,2,47,3,-,88
-,-,-,-,-,-,750,5615,6827,750,36200,375,2,-,-,-,-,-,-,-,61
-,-,-,-,-,-,750,4800,6736,750,36300,375,2,-,-,-,-,-,-,-,63
-,-,-,-,-,-,750,5414,6794,750,36400,900,2,-,-,-,-,-,-,-,124
351,-,2,-,6061,-39,125,5995,6018,25,36500,25,3,3,550,-1,3,46,1563,279,2339
2,-,-,-,-,-,750,5630,6151,750,36600,125,2,4,50,0,3,45,191,5,73
-,-,-,-,-,-,750,5541,5958,750,36700,50,3,3,475,-1,3,44,200,19,69
2,-,-,-,-,-,750,5457,5857,750,36800,450,3,3,450,-2,3,44,254,1,128
3,-,-,-,-,-,750,4914,7155,750,36900,225,3,3,500,-3,3,43,190,46,112
1220,-,3,-,5554,-3,125,5502,5528,25,37000,1350,3,3,2250,-1,3,42,3744,502,11169
-,-,-,-,-,-,750,5170,6448,750,37100,25,3,3,2350,-1,3,42,161,18,99
2,-,-,-,-,-,750,4945,5596,750,37200,175,3,3,100,-1,3,41,64,24,237
2,-,-,-,-,-,750,4381,6274,750,37300,200,3,3,550,-1,3,40,237,-44,107
3,-,-,-,-,-,750,4812,6137,750,37400,300,3,3,1400,-1,3,40,139,9,96
426,-,13,-,5017,-76,125,4998,5025,25,37500,825,3,3,2975,-1,3,39,4268,-117,5327
1,-,-,-,-,-,750,4240,5048,750,37600,150,3,4,50,-2,3,38,379,58,141
2,-,-,-,-,-,750,4588,4926,750,37700,275,4,4,1650,-2,4,38,500,21,278
3,-,-,-,-,-,750,4435,5626,750,37800,25,4,4,1525,-1,4,37,481,90,258
7,-,-,-,-,-,750,4366,4765,750,37900,50,4,4,25,-1,4,36,444,23,204
1623,-,3,-,4550,45,275,4505,4524,25,38000,25,4,4,4750,-1,4,36,10845,137,13236
13,-,-,-,-,-,750,4180,4500,500,38100,500,4,4,1325,-2,4,35,1385,10,418
7,-,-,-,-,-,750,3754,4446,750,38200,225,4,4,100,-2,4,34,805,9,149
13,-,-,-,-,-,750,4002,4349,750,38300,475,4,4,650,-2,4,34,1298,61,359
8,-,-,-,-,-,750,4038,4187,450,38400,225,4,4,25,-1,4,33,626,-10,195
640,-4,13,-,4006,-17,125,4005,4029,100,38500,5325,4,4,1975,-2,4,32,19673,4469,15473
30,-,3,-,3934,-26,50,3879,4049,125,38600,175,4,4,850,-2,4,32,1113,474,1011
36,-,-,-,-,-,450,3750,3865,450,38700,450,4,5,2650,-2,4,31,1297,210,496
103,-,-,-,-,-,500,3648,3854,750,38800,700,5,5,1625,-2,5,30,1105,95,861
26,-,2,29,3676,439,450,3556,3670,450,38900,1050,5,5,2050,-2,5,30,3022,682,947
1923,2,18,-,3511,-13,100,3511,3526,50,39000,3325,5,5,21100,-2,5,29,36974,7301,32973
36,-,1,-,3413,57,75,3390,3564,750,39100,2075,5,5,1850,-2,5,28,2512,627,1196
116,-,1,-,3320,20,100,3296,3437,750,39200,1300,5,5,2400,-2,5,28,4689,355,1886
92,-,-,-,-,-,450,3168,3356,125,39300,1950,5,5,625,-2,5,27,3069,403,1580
63,-,-,-,-,-,75,3104,3262,125,39400,100,5,5,3525,-2,5,26,3869,454,1711
1874,1,11,-,3011,-19,125,3014,3032,125,39500,6250,5,6,675,-2,6,26,27481,4153,24771
178,-,1,-,2918,-9,175,2898,2980,175,39600,1450,6,6,2050,-3,6,25,3723,551,2090
727,-,7,-,2828,15,75,2763,2910,1450,39700,1400,6,6,75,-3,6,25,11592,-3216,4124
439,-6,17,-,2721,-1,175,2594,2733,125,39800,2550,6,6,1450,-3,6,24,13028,-1847,3103
617,-16,32,-,2628,-121,750,2547,2708,50,39900,2325,7,7,1625,-3,7,23,11030,114,4782
30182,-,151,-,2522,-27,50,2518,2524,125,40000,1550,7,7,1325,-3,7,23,57749,10238,70697
707,-,5,22,2482,51,50,2417,2439,75,40100,3725,8,8,1225,-4,8,22,10475,2046,5598
650,-2,8,18,2377,60,50,2318,2365,1700,40200,225,8,8,3375,-4,8,22,9875,1440,6311
341,-,6,24,2294,64,75,2203,2245,1400,40300,2875,9,9,825,-4,9,21,10438,1937,5849
701,-2,12,-,2125,-12,25,2119,2169,1725,40400,3200,10,10,1675,-5,10,21,16016,3886,7971
3254,6,89,-,2012,-43,100,2026,2032,25,40500,675,11,11,2975,-6,11,20,60070,8679,43092
518,32,54,-,1935,-35,275,1926,1935,25,40600,25,12,12,675,-6,12,20,13939,1409,6261
503,-8,25,-,1823,8,125,1828,1838,25,40700,650,13,13,325,-6,13,19,14573,755,6289
466,-9,41,-,1728,-58,50,1731,1740,25,40800,775,15,15,1375,-7,15,19,25080,5187,13237
358,-,8,-,1633,-26,25,1633,1643,75,40900,650,17,17,950,-8,17,18,19406,2714,8448
8571,-89,500,-,1540,-22,50,1539,1542,50,41000,1500,20,20,2225,-10,20,18,74478,9711,59448
452,-,10,-,1444,-25,50,1439,1448,100,41100,475,23,23,1525,-12,23,17,20824,2915,9387
1087,7,85,-,1338,-22,25,1345,1351,50,41200,675,27,27,200,-14,27,17,34077,2376,13860
1326,-8,123,-,1235,-36,50,1250,1255,50,41300,25,32,32,2100,-16,32,17,41955,2422,18823
1163,-26,119,-,1144,-24,25,1158,1162,50,41400,300,38,38,525,-18,38,17,50786,-5400,17779
13537,787,2929,-,1066,-25,50,1066,1068,25,41500,875,46,46,175,-20,46,16,95234,8123,62532
1648,-25,549,-,960,-36,25,975,979,50,41600,25,56,56,775,-22,56,16,52756,7595,19352
1196,109,439,10,875,-40,125,886,889,25,41700,75,67,67,950,-25,67,16,47936,5108,16849
1646,313,1436,11,799,-33,25,801,802,250,41800,100,81,81,375,-28,81,16,76028,10942,26447
1704,232,1484,11,718,-35,25,719,720,25,41900,100,98,98,200,-31,98,15,57969,11096,20917
24639,5042,24027,12,642,-31,25,642,643,275,42000,275,119,119,100,-30,119,15,152540,20396,87424
5462,2176,9859,12,567,-31,100,566,567,50,42100,100,145,145,300,-33,145,15,61608,10412,19378
13510,4900,27391,12,498,-33,75,498,498,900,42200,25,175,175,600,-35,175,15,83272,14128,31407
25090,10802,62889,12,431,-40,50,432,432,50,42300,25,209,209,25,-36,209,15,118187,18668,41967
45209,24112,129418,13,371,-34,50,371,371,50,42400,50,248,249,75,-35,249,15,165830,29207,56922
151730,81300,394300,13,314,-38,25,314,314,700,42500,125,292,292,25,-32,293,15,416095,71305,122023
71992,43674,208074,13,262,-39,50,262,262,300,42600,50,340,341,50,-28,341,15,213857,32019,46789
46298,30187,130650,12,216,-36,25,215,216,50,42700,100,394,394,25,-29,394,15,95301,16413,21419
34539,17585,99845,12,175,-33,25,175,175,350,42800,25,453,454,50,-28,453,15,49996,10141,14130
26162,13780,78978,12,139,-30,50,139,140,425,42900,50,518,519,25,-25,519,15,27701,8384,9956
90636,22394,167670,12,109,-29,300,109,109,50,43000,25,588,589,25,-22,589,15,29427,6447,19025
24122,13783,77350,12,85,-23,225,85,85,50,43100,75,664,665,25,-14,664,16,3949,1144,1663
33686,10037,90730,12,65,-20,175,65,66,1000,43200,50,742,744,25,-15,744,16,1716,367,968
23562,9362,82167,12,50,-17,150,50,50,175,43300,50,827,830,125,-11,828,16,772,251,631
23571,8344,79796,12,38,-13,1875,38,38,1150,43400,25,915,917,125,-7,917,17,822,91,365
66652,15253,139756,13,29,-12,10000,29,29,925,43500,50,1006,1008,25,-4,1008,18,1411,225,2755
24539,7069,53974,13,22,-9,1950,22,22,900,43600,50,1097,1103,25,5,1112,20,136,24,139
15661,4190,37982,13,18,-7,750,18,18,900,43700,25,1192,1198,25,110,1207,19,194,52,61
26616,4283,40521,13,14,-6,1750,14,14,50,43800,3725,1274,1296,100,1,1318,22,20,2,42
15034,2472,27263,14,12,-4,425,12,12,1875,43900,50,1382,1394,50,-2741,1382,20,25,7,7
74981,22033,90647,14,11,-3,500,11,11,925,44000,125,1485,1488,25,7,1488,22,278,88,1768
8495,4532,22974,15,10,-2,650,10,10,550,44100,75,1572,1591,50,-2704,1569,21,27,6,6
8963,-1028,22729,15,9,-2,800,9,9,1225,44200,100,1677,1703,100,-14,1676,22,21,-,2
6320,1680,17934,16,8,-1,3025,8,8,150,44300,2925,1764,1813,175,24,1797,26,22,2,2
5863,3204,16325,16,7,-1,2900,7,7,4150,44400,125,1876,1942,175,-2,1870,24,7,1,4
46736,12198,59120,17,7,-1,1750,7,7,3575,44500,50,1977,1985,25,125,2001,28,10,-,227
52222,16445,66051,20,5,0,8550,5,5,925,45000,100,2473,2484,25,3,2490,30,18,-4,944
18875,7848,27972,22,4,-1,7175,4,4,1525,45500,150,2970,2986,25,61,2999,38,1,-,268
12990,744,19888,25,4,-1,5025,4,4,2675,46000,125,3470,3480,25,-9,3488,41,2,-,492
8767,3028,16307,28,3,0,3100,3,3,1625,46500,125,3970,3986,25,45,4004,-,16,-,508
4775,1962,12030,30,3,0,900,3,3,1025,47000,125,4445,4491,125,-51,4420,32,2,-,7
10415,6842,24627,33,3,0,750,3,3,5875,47500,125,4901,4990,125,-,-,-,-,-,-
