OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI
895,-185,732,12,1303,-57,25,1303,1308,25,41200,3425,22,22,175,-19,22,16,243746,8557,20041
1211,-123,1176,11,1203,-68,50,1207,1213,25,41300,650,26,26,2000,-22,26,15,282760,5068,21469
1066,-123,1220,15,1115,-53,50,1113,1117,50,41400,200,31,32,1025,-25,32,15,324236,6016,29195
12662,-88,23529,13,1025,-66,25,1021,1023,50,41500,650,39,39,475,-27,39,15,781275,20064,74473
1557,-116,3387,13,929,-67,125,930,932,25,41600,550,48,48,550,-30,48,14,471915,13523,25280
1665,578,5163,14,845,-70,25,841,843,50,41700,25,59,59,750,-33,59,14,470499,12931,24672
2304,971,22954,12,759,-74,50,755,757,50,41800,150,73,73,225,-37,73,14,614897,13495,29000
3008,1536,33133,12,674,-79,50,673,674,75,41900,475,89,89,150,-40,89,14,569963,12368,22189
26712,7115,349328,12,596,-78,100,594,595,25,42000,200,110,110,100,-40,110,14,1372556,25601,92629
8057,4771,188749,12,520,-77,25,520,521,100,42100,50,135,135,25,-43,135,14,672237,15654,24620
21670,13060,640484,12,451,-80,50,450,451,25,42200,125,165,165,25,-45,165,14,1177634,24580,41859
41391,27103,1495675,12,386,-85,50,386,387,25,42300,100,201,201,50,-44,201,13,1966483,36680,59979
61929,40832,1847179,12,327,-78,25,327,327,50,42400,150,241,241,25,-42,241,13,2067609,26758,54473
180800,110370,2886029,12,273,-79,50,273,273,25,42500,75,287,287,125,-38,287,13,2743633,51475,102193
66919,38601,1373238,12,225,-76,75,225,225,75,42600,25,339,340,25,-31,338,13,1085198,17516,32286
40252,24141,923475,12,183,-69,75,183,183,100,42700,75,396,397,125,-27,396,13,518865,6879,11885
36243,19289,839712,12,145,-62,50,145,146,25,42800,25,459,460,75,-21,459,13,277296,4308,8297
28953,16571,609722,12,114,-55,100,114,114,225,42900,125,528,529,200,-15,529,13,137564,4869,6441
101657,33415,1245067,12,87,-50,25,87,88,50,43000,25,601,603,150,-9,601,13,188443,4349,16927
29267,18928,552679,12,67,-41,75,67,67,575,43100,25,680,682,125,3,681,14,14192,1395,1914
37144,13495,620279,12,51,-35,325,51,51,175,43200,125,764,766,25,6,765,14,6540,43,644
31301,17101,534740,12,38,-29,1625,38,38,50,43300,25,851,853,50,10,849,14,3622,265,645
30378,15151,494672,12,28,-23,200,28,28,100,43400,25,942,945,25,24,948,13,2426,187,461
74112,22713,855047,13,23,-18,2050,23,23,375,43500,25,1035,1037,50,23,1035,15,14819,-378,2152
22690,5220,342481,13,18,-14,1175,18,18,25,43600,25,1127,1132,50,28,1136,7,375,5,120
15084,3613,241036,13,14,-10,475,14,14,725,43700,25,1224,1231,25,126,1224,16,317,60,69
21214,-1119,228059,14,12,-8,650,12,12,1650,43800,25,1308,1327,25,7,1324,16,72,16,56
13925,1363,148910,14,10,-6,600,10,10,2625,43900,150,1418,1424,75,-2714,1410,-,100,11,11
69467,16519,503448,15,9,-5,425,9,9,7325,44000,50,1517,1521,150,39,1520,-,1479,66,1746
6809,2846,98652,15,8,-4,750,8,8,1275,44100,125,1606,1626,50,-2537,1735,29,39,8,8
8975,-1016,95849,16,7,-3,2950,7,7,625,44200,125,1705,1736,75,129,1819,29,23,3,5
8736,4096,100687,16,6,-3,1275,6,7,1900,44300,125,1809,1827,125,-1,1772,31,32,2,2
6128,3469,85986,17,6,-2,1300,6,6,3600,44400,500,1912,1981,2800,166,2038,33,12,-,3
58072,23534,322023,17,6,-2,2000,6,6,5325,44500,375,2010,2016,50,145,2021,21,36,3,230
67424,31647,310652,20,5,0,2950,5,5,3875,45000,50,2511,2518,50,33,2520,24,173,-17,931
46595,35568,223868,23,5,0,1975,5,5,3225,45500,1500,2997,3021,25,72,3010,38,17,-10,258
20633,8387,164799,26,4,0,4525,4,4,16575,46000,250,3496,3514,25,17,3514,45,26,-,492
12219,6480,80266,29,4,0,675,4,4,250,46500,150,3989,4041,25,23,3983,-,79,-1,507
14789,11976,90673,32,4,1,800,4,4,5500,47000,25,4500,4523,25,30,4500,33,16,1,8
23492,19919,178598,34,4,0,2000,4,4,5050,47500,125,4994,5063,25,-,-,-,-,-,-
