OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI
-,-,-,-,-,-,900,13335,13545,25,29000,96150,2,2,38625,0,2,100,345625,23475,25248
1,-,-,-,-,-,50,12852,13013,25,29500,52850,2,2,15225,0,2,96,99127,4725,5018
110,-,1,-,12300,100,900,12338,12587,75,30000,55125,2,2,8425,0,2,92,77515,5176,6003
-,-,-,-,-,-,900,11852,12733,875,30500,1575,2,2,7875,0,2,88,64476,4179,4352
53,-,-,-,-,-,50,11347,11538,100,31000,9875,2,2,13700,0,2,84,39456,1515,2008
4,-,-,-,-,-,900,10851,11026,25,31500,2075,2,2,6550,0,2,80,23303,843,855
31,-,-,-,-,-,125,10343,10518,25,32000,2325,2,2,2325,0,2,76,13928,1145,2019
-,-,-,-,-,-,900,9858,10086,25,32500,700,2,2,400,-1,2,73,6215,200,235
58,-15,17,-,9475,-34,125,9400,9519,250,33000,3325,2,2,1550,-1,2,69,5853,74,1203
144,-2,4,-,8850,750,125,8887,9078,25,33500,250,2,2,125,-1,2,65,6012,105,467
576,-5,17,77,8470,-,125,8435,8505,150,34000,2025,2,2,800,-1,2,62,5627,-5,2647
270,-1,3,-,7883,-112,125,7961,8010,125,34500,875,2,2,400,-1,2,58,2801,94,1075
1406,-6,105,-,7490,16,250,7459,7502,125,35000,5600,2,2,2200,-1,2,54,7967,358,4863
-,-,-,-,-,-,750,7256,7475,900,35100,950,3,3,800,-1,2,54,140,69,106
-,-,-,-,-,-,750,7147,7922,750,35200,50,2,-,-,-1,2,53,16,-6,11
-,-,-,-,-,-,750,6941,7291,50,35300,600,2,-,-,-,-,-,-,-,18
-,-,-,-,-,-,750,6955,7176,900,35400,50,2,3,125,0,3,52,50,-2,39
255,-,5,-,6900,-120,200,6952,6997,125,35500,4250,2,2,900,-1,2,51,2549,40,1399
5,-,-,-,-,-,750,6690,6992,50,35600,225,2,-,-,-,-,-,-,-,22
-,-,-,-,-,-,750,6590,6891,50,35700,600,2,-,-,-,-,-,-,-,25
-,-,-,-,-,-,750,6558,6775,900,35800,25,2,3,50,-1,2,49,188,-4,77
-,-,-,-,-,-,750,6459,6728,750,35900,25,2,3,100,0,3,49,125,12,104
1884,-20,45,-,6312,-236,50,6469,6485,50,36000,550,2,3,25,-1,2,48,9803,135,5900
-,-,-,-,-,-,750,6256,6475,900,36100,625,2,3,50,-1,3,48,315,8,96
-,-,-,-,-,-,750,6166,6374,900,36200,125,3,3,250,-2,3,47,489,33,94
-,-,-,-,-,-,750,6063,6277,900,36300,125,3,3,50,-2,3,45,414,21,84
-,-,-,-,-,-,750,5961,6174,900,36400,125,3,3,100,-4,3,45,494,9,133
343,-8,15,-,5892,-208,250,5964,5986,25,36500,1025,3,3,425,-1,3,45,6612,597,2657
2,-,-,-,-,-,750,5788,5974,200,36600,50,3,3,175,-1,3,44,1831,37,105
-,-,-,-,-,-,750,5688,5872,200,36700,275,3,3,25,-1,3,43,784,39,89
2,-,-,-,-,-,750,5591,5774,200,36800,1900,3,3,150,-2,3,43,1183,3,130
3,-,-,-,-,-,750,5468,5665,200,36900,250,3,3,200,-3,3,42,656,10,76
1173,-47,71,-,5481,-76,175,5468,5490,25,37000,3125,3,3,1025,-1,3,42,25526,2699,13366
-,-,-,-,-,-,750,5266,5469,450,37100,1100,3,3,425,-1,3,41,1185,21,102
2,-,-,-,-,-,1200,5167,5373,450,37200,200,3,3,650,-1,3,40,884,28,241
2,-,-,-,-,-,750,5069,5273,450,37300,1200,3,3,75,-1,3,39,929,-70,81
3,-,-,-,-,-,750,4986,5169,450,37400,650,3,3,50,-2,3,39,693,28,115
403,-23,29,-,4883,-210,175,4971,4993,100,37500,275,3,3,875,-1,3,38,15007,-761,4683
1,-,-,-,-,-,750,4768,4972,450,37600,100,3,4,50,-2,3,37,1367,77,160
2,-,-,-,-,-,750,4669,4875,900,37700,850,3,4,25,-2,3,37,1474,-25,232
3,-,-,-,-,-,750,4570,4776,450,37800,250,3,4,200,-1,4,36,1875,37,205
7,-,-,-,-,-,1200,4465,4671,450,37900,100,3,4,125,-2,3,35,1711,32,213
1597,-26,54,-,4512,7,150,4472,4489,125,38000,2225,4,4,2275,-1,4,35,49425,-973,12126
13,-,-,-,-,-,125,4350,4471,450,38100,225,4,4,475,-2,4,34,3367,25,433
7,-,-,-,-,-,1200,4174,4367,450,38200,925,4,4,175,-2,4,34,2893,177,317
13,-,-,-,-,-,350,4148,4266,350,38300,125,4,4,100,-2,4,33,3885,34,332
8,-,-,-,-,-,750,3995,4169,450,38400,175,4,4,275,-2,4,32,3015,96,301
636,-8,33,-,3808,-216,125,3972,3991,100,38500,2975,4,4,1425,-2,4,32,72568,3668,14672
29,-1,5,-,3780,-180,50,3810,3967,450,38600,650,4,4,150,-2,4,31,6278,252,789
36,-,2,-,3650,-200,450,3750,3867,450,38700,550,4,4,175,-2,4,30,5956,230,516
103,-,-,-,-,-,125,3652,3702,125,38800,1725,4,4,300,-2,4,30,5985,-107,659
26,-,2,48,3676,439,450,3554,3666,450,38900,875,4,5,425,-2,4,29,10638,340,605
1822,-99,275,34,3475,-49,50,3481,3493,225,39000,6700,5,5,975,-2,5,28,132696,2205,27877
36,-,1,35,3413,57,50,3360,3400,50,39100,375,5,5,300,-2,5,28,8585,146,715
116,-,1,35,3320,20,750,3211,3372,950,39200,325,5,5,125,-3,5,27,14727,773,2304
92,-,1,-,3100,-181,750,3109,3259,450,39300,875,5,5,50,-3,5,26,14504,231,1408
60,-3,4,-,2996,-115,100,3067,3172,1125,39400,1150,5,5,700,-2,5,26,15474,-82,1175
1811,-62,102,-,3024,-5,200,2970,2990,50,39500,25550,5,5,4650,-3,5,25,143739,11888,32506
173,-5,6,-,2867,-60,750,2813,2951,50,39600,450,5,5,1275,-3,5,25,18706,1001,2540
642,-85,90,-,2635,-178,50,2751,2826,1575,39700,1250,5,5,450,-4,5,24,28323,-4354,2986
431,-14,26,-,2601,-120,200,2667,2698,75,39800,775,5,5,300,-4,5,23,36891,422,5372
604,-29,46,-,2484,-265,150,2530,2609,200,39900,75,6,6,950,-4,6,22,39385,-1163,3505
29579,-603,1762,-,2475,-74,125,2481,2487,100,40000,3500,6,6,6450,-4,6,22,280434,8937,69396
642,-65,70,-,2256,-175,100,2376,2397,50,40100,875,6,6,325,-5,6,21,49436,-182,3370
626,-26,36,-,2301,-16,100,2268,2298,75,40200,3800,7,7,800,-6,7,21,58216,1494,6365
333,-8,23,-,2230,0,50,2181,2202,25,40300,1550,8,8,75,-6,8,20,67411,7729,11641
693,-10,19,-,1937,-200,25,2084,2112,125,40400,2500,8,8,1825,-7,8,20,85661,3512,7597
3265,17,503,19,1980,-75,25,1986,1994,25,40500,1450,8,8,3325,-8,8,19,325219,12260,46673
514,28,71,22,1919,-51,150,1886,1898,25,40600,500,10,10,950,-8,10,19,92216,3365,8217
505,-6,50,-,1801,-14,125,1788,1804,150,40700,1350,11,11,50,-9,11,18,95020,616,6150
452,-23,97,-,1719,-67,200,1691,1706,75,40800,1550,12,12,200,-11,12,17,146533,1653,9703
345,-13,32,-,1625,-34,150,1593,1612,125,40900,825,13,14,1375,-12,13,17,124464,2189,7923
7694,-966,6777,14,1496,-66,300,1496,1500,100,41000,2400,16,16,50,-14,16,16,546921,17738,67475
414,-38,332,17,1399,-71,25,1399,1404,25,41100,1200,18,18,225,-17,18,16,172595,4613,11085
