OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI
-,-,-,-,-,-,900,13177,13374,25,29000,275625,2,2,59525,0,2,98,273498,20073,21846
1,-,-,-,-,-,900,12682,12885,75,29500,6150,2,2,26475,0,2,94,79566,4985,5278
110,-,1,-,12300,100,50,12187,12385,125,30000,32025,2,2,950,0,2,90,61760,4729,5556
-,-,-,-,-,-,900,11696,12797,250,30500,31350,2,2,8125,0,2,86,51292,4042,4215
53,-,-,-,-,-,900,11192,11369,125,31000,23025,2,2,8250,0,2,82,30097,1459,1952
4,-,-,-,-,-,900,10695,10853,25,31500,175,2,2,9925,0,2,79,16427,689,701
31,-,-,-,-,-,900,10203,10353,25,32000,1800,2,2,7425,0,2,75,11274,1417,2291
-,-,-,-,-,-,50,9694,9923,275,32500,725,2,2,225,-1,2,72,4497,137,172
59,-14,16,104,9380,-129,625,9245,9374,125,33000,400,2,2,625,-1,2,68,4657,58,1187
144,-2,4,88,8850,750,625,8750,8849,125,33500,650,2,2,900,0,2,64,5038,84,446
577,-4,13,98,8400,-70,125,8255,8335,25,34000,625,2,2,50,-1,2,61,3742,59,2711
270,-1,3,88,7883,-112,125,7755,7844,25,34500,400,2,2,725,0,2,57,2107,70,1051
1398,-14,93,82,7380,-95,125,7286,7333,25,35000,50,2,3,2200,-1,3,54,5811,693,5198
-,-,-,-,-,-,750,7091,7344,750,35100,150,3,-,-,0,3,55,136,67,104
-,-,-,-,-,-,750,6998,8122,750,35200,50,2,-,-,-1,2,54,16,-6,11
-,-,-,-,-,-,750,6878,7161,750,35300,600,2,-,-,-,-,-,-,-,18
-,-,-,-,-,-,750,6791,7012,900,35400,25,3,3,500,-1,3,51,42,-3,38
255,-,5,82,6900,-120,400,6788,6824,25,35500,900,3,3,25,0,3,51,2016,92,1451
5,-,-,-,-,-,750,6597,6980,750,35600,225,2,-,-,-,-,-,-,-,22
-,-,-,-,-,-,750,6498,6860,750,35700,600,2,-,-,-,-,-,-,-,25
-,-,-,-,-,-,750,6393,6695,750,35800,50,3,3,100,0,3,49,130,-8,73
-,-,-,-,-,-,750,6301,6771,750,35900,100,3,-,-,0,3,48,121,8,100
1886,-18,44,-,6300,-248,50,6302,6314,25,36000,1100,3,3,150,-1,3,47,7907,410,6175
-,-,-,-,-,-,750,6094,6311,900,36100,600,2,4,75,-1,2,46,240,10,98
-,-,-,-,-,-,750,6012,6211,900,36200,100,3,3,50,-2,3,46,359,8,69
-,-,-,-,-,-,800,5894,6111,900,36300,900,2,3,50,-2,2,44,306,21,84
-,-,-,-,-,-,750,5795,6010,900,36400,50,3,3,100,-4,3,45,347,-1,123
343,-8,15,69,5892,-208,125,5800,5816,25,36500,1700,3,3,2225,-1,3,44,5920,760,2820
2,-,-,-,-,-,200,5643,5801,200,36600,50,3,3,300,0,3,43,1549,119,187
-,-,-,-,-,-,200,5544,5687,200,36700,100,3,3,250,-1,3,43,663,50,100
2,-,-,-,-,-,200,5445,5589,200,36800,275,3,4,50,-2,3,42,1055,6,133
3,-,-,-,-,-,200,5329,5511,200,36900,50,3,4,50,-3,3,41,576,41,107
1175,-45,69,52,5347,-211,175,5305,5319,25,37000,2025,3,3,1900,-1,3,41,22827,3073,13740
-,-,-,-,-,-,450,5146,5307,450,37100,100,3,4,150,-1,3,40,954,59,140
2,-,-,-,-,-,450,5047,5205,450,37200,850,3,3,75,-1,3,39,699,82,295
2,-,-,-,-,-,450,4948,5087,450,37300,25,3,4,100,-1,3,39,758,-40,111
3,-,-,-,-,-,450,4848,5000,450,37400,25,3,4,100,-1,3,38,633,30,117
403,-23,28,-,4816,-277,125,4806,4821,125,37500,2725,3,3,100,-1,3,37,13282,-493,4951
