OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI
1,-,-,-,-,-,450,4650,4790,450,37600,100,3,4,25,-2,4,37,1215,88,171
2,-,-,-,-,-,750,4514,4709,900,37700,25,3,4,25,-2,3,36,1282,-6,251
3,-,-,-,-,-,450,4451,4599,450,37800,25,4,4,525,-1,4,35,1608,33,201
7,-,-,-,-,-,750,4320,4505,450,37900,25,4,4,50,-1,4,35,1366,66,247
1590,-33,36,-,4300,-205,150,4308,4317,25,38000,1000,4,4,5100,-1,4,34,40019,-77,13022
13,-,-,-,-,-,450,4152,4294,450,38100,250,4,4,625,-2,4,33,2943,32,440
7,-,-,-,-,-,450,4053,4193,450,38200,75,4,4,25,-2,4,32,2208,177,317
13,-,-,-,-,-,225,3980,4092,350,38300,25,4,4,475,-2,4,32,3114,-,298
8,-,-,-,-,-,325,3874,3992,450,38400,500,4,4,375,-2,4,31,2499,-3,202
636,-8,33,-,3808,-216,75,3800,3822,25,38500,8575,4,4,1600,-2,4,31,54697,5816,16820
30,-,4,63,3756,-204,50,3666,3745,25,38600,1400,4,4,475,-2,4,30,5224,318,855
36,-,2,37,3650,-200,125,3578,3692,450,38700,200,4,4,325,-2,4,29,4518,372,658
103,-,-,-,-,-,50,3464,3578,575,38800,500,4,5,650,-2,4,29,4333,160,926
26,-,2,63,3676,439,675,3324,3485,575,38900,100,5,5,150,-2,5,28,8450,1091,1356
1826,-95,231,-,3321,-203,50,3317,3323,25,39000,1000,5,5,3075,-2,5,27,104590,7505,33177
36,-,1,55,3413,57,50,3191,3281,50,39100,1150,5,5,1000,-2,5,27,6174,557,1126
116,-,1,54,3320,20,75,3099,3205,50,39200,475,5,5,700,-2,5,26,11063,852,2383
92,-,-,-,-,-,450,2963,3085,450,39300,2250,5,5,125,-2,5,25,10613,408,1585
60,-3,4,39,2996,-115,125,2889,2936,75,39400,850,5,5,325,-2,5,25,11171,56,1313
1819,-54,74,-,2826,-203,3050,2802,2825,50,39500,4850,5,6,3525,-2,6,24,92129,4982,25600
173,-5,6,44,2867,-60,175,2700,2736,25,39600,1450,6,6,750,-3,6,24,12322,1108,2647
642,-85,90,22,2635,-178,50,2617,2700,300,39700,750,6,6,100,-3,6,23,22898,-4203,3137
431,-14,26,35,2601,-120,1875,2428,2555,375,39800,625,7,7,1125,-3,7,22,27712,-714,4236
608,-25,44,25,2420,-329,300,2345,2452,50,39900,2225,7,7,25,-3,7,22,32234,-532,4136
29561,-621,1297,19,2318,-231,50,2319,2323,25,40000,3800,8,8,17100,-3,8,21,202076,11586,72045
643,-64,69,19,2235,-196,50,2203,2229,50,40100,1500,8,9,2625,-3,9,21,40279,812,4364
628,-24,33,-,2114,-203,125,2117,2163,1325,40200,150,9,9,850,-3,9,20,42544,2734,7605
334,-7,11,37,2187,-43,125,2023,2047,1575,40300,625,10,11,2275,-3,11,20,47501,4968,8880
693,-10,18,-,1913,-223,125,1925,1933,25,40400,175,11,12,3300,-3,11,19,67130,5835,9920
3266,18,356,-,1830,-225,125,1827,1832,100,40500,1150,13,13,25,-3,13,19,240895,25135,59548
514,28,65,32,1865,-104,125,1729,1740,50,40600,350,14,15,2225,-4,14,18,72059,2692,7544
504,-7,47,-,1618,-198,125,1631,1640,50,40700,475,16,16,25,-3,16,18,73174,3250,8784
454,-21,90,17,1540,-246,50,1534,1543,25,40800,2150,19,19,175,-4,19,17,114242,4232,12282
346,-12,27,16,1438,-221,25,1437,1446,25,40900,500,22,22,1550,-4,22,17,93181,5456,11190
7909,-751,3998,15,1349,-213,100,1343,1346,25,41000,1450,26,26,175,-4,26,17,415383,21065,70802
433,-19,242,17,1252,-217,150,1247,1253,25,41100,450,30,31,100,-4,31,16,110391,4086,10558
897,-183,578,15,1165,-195,25,1154,1160,25,41200,2375,36,37,550,-4,36,16,165037,10017,21501
1293,-41,855,15,1069,-202,25,1061,1065,25,41300,350,44,44,1050,-4,44,16,203119,2435,18836
1145,-44,804,16,976,-192,50,972,975,25,41400,1725,54,54,425,-2,54,15,222318,1172,24351
13237,487,17178,15,886,-205,25,885,887,125,41500,25,66,66,675,0,66,15,589190,29030,83439
1671,-2,2648,15,800,-196,25,800,802,125,41600,1400,80,80,275,2,80,15,348051,16714,28471
1670,583,3678,15,716,-199,25,716,718,125,41700,150,97,97,75,5,97,15,338376,12621,24362
3721,2388,16593,14,638,-195,100,638,639,50,41800,25,118,118,25,8,118,15,452431,17393,32898
4252,2780,23854,14,562,-191,125,562,564,50,41900,100,143,143,125,14,143,14,427443,14716,24537
34347,14750,248374,14,493,-181,25,494,494,25,42000,1000,172,172,25,23,172,14,1034118,37205,104233
17708,14422,129332,14,428,-170,25,428,429,50,42100,50,207,207,25,29,207,14,496188,19380,28346
39249,30639,425599,14,369,-162,50,368,369,500,42200,25,247,247,225,37,247,14,867616,40814,58093
88265,73977,1008463,14,313,-158,175,313,313,50,42300,125,291,291,75,46,291,14,1496671,52594,75893
103765,82668,1253593,14,262,-143,225,262,263,25,42400,50,341,342,25,58,341,14,1606954,27722,55437
223405,152975,2158337,14,217,-135,25,216,217,300,42500,25,396,397,50,72,396,14,2265095,60089,110807
95203,66885,1053884,14,177,-124,25,178,178,25,42600,50,456,456,50,87,456,14,924453,14053,28823
55689,39578,701921,13,142,-110,125,142,142,75,42700,25,520,521,50,98,521,14,446518,7985,12991
55408,38454,630986,13,112,-95,125,112,113,350,42800,50,591,592,25,111,592,13,231201,6001,9990
38608,26226,450189,13,87,-82,25,87,87,75,42900,125,665,667,50,122,666,13,116735,5086,6658
128091,59849,921813,13,67,-71,450,67,67,50,43000,50,746,747,125,138,748,13,151649,5331,17909
44474,34135,403134,13,51,-57,300,52,52,275,43100,25,829,832,125,156,834,13,11310,1645,2164
48778,25129,449928,13,40,-46,750,40,40,75,43200,25,917,920,125,157,915,13,4813,293,894
32591,18391,410813,13,31,-36,1050,31,31,100,43300,75,1008,1011,25,165,1005,13,2849,229,609
33840,18613,377171,13,25,-26,200,25,25,500,43400,25,1102,1105,25,175,1099,14,2129,186,460
80409,29010,666926,14,20,-21,1100,20,20,1475,43500,25,1197,1200,25,184,1196,14,10818,416,2946
29738,12268,265258,14,16,-15,225,16,16,1325,43600,25,1292,1297,50,175,1283,15,316,13,128
19411,7940,187019,14,14,-11,2625,14,14,1050,43700,50,1389,1394,50,291,1388,19,296,58,67
24194,1861,185137,15,12,-8,3225,12,12,925,43800,25,1487,1494,25,174,1491,16,62,6,46
15910,3348,115867,15,10,-6,650,10,10,425,43900,50,1583,1589,50,-2524,1599,20,76,15,15
88885,35937,391485,16,9,-5,5725,9,9,9500,44000,25,1685,1687,50,207,1688,15,1032,-51,1629
9725,5762,81031,16,8,-3,675,8,8,4475,44100,125,1778,1792,50,-2537,1735,-,39,8,8
10697,706,77804,17,8,-3,3250,8,8,2075,44200,25,1881,1903,125,129,1819,-,23,3,5
11364,6724,77312,17,7,-2,900,7,7,775,44300,50,1977,1992,225,162,1935,-,24,2,2
9096,6437,69434,18,7,-2,2475,7,7,4700,44400,75,2075,2157,100,189,2061,-,11,1,4
66128,31590,246828,18,6,-2,3875,6,6,1400,44500,250,2177,2185,50,295,2171,24,27,1,228
62289,26512,230959,21,5,-1,3900,5,5,13425,45000,125,2676,2686,25,181,2668,22,90,-2,946
34042,23015,126658,24,5,0,1750,5,5,600,45500,2175,3146,3190,175,7,2945,-,13,-1,267
18382,6136,88404,27,4,0,3450,4,4,7500,46000,125,3671,3680,25,120,3618,-,16,4,496
11039,5300,65781,30,4,0,4825,4,4,5775,46500,125,4169,4189,125,173,4132,-,66,-27,481
9313,6500,70136,32,4,0,275,4,4,1925,47000,125,4667,4693,75,11,4482,-,8,4,11
26434,22861,143394,35,3,0,12350,3,3,3075,47500,125,5166,5198,75,-,-,-,-,-,-
