OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI
-,-,-,-,-,-,125,13261,13471,900,29000,159525,2,2,41525,0,2,99,236178,20553,22326
1,-,-,-,-,-,50,12757,12907,25,29500,66900,2,2,8950,0,2,95,70266,5360,5653
110,-,-,-,-,-,125,12259,12405,75,30000,25550,2,2,2550,0,2,91,53086,4749,5576
-,-,-,-,-,-,50,11758,12925,225,30500,30025,2,2,1250,0,2,87,45706,4295,4468
53,-,-,-,-,-,900,11261,11444,150,31000,1375,2,2,19850,0,2,83,27632,1029,1522
4,-,-,-,-,-,900,10765,10933,25,31500,250,2,2,13200,0,2,79,14627,696,708
31,-,-,-,-,-,125,10239,10424,100,32000,125,2,2,10825,0,2,75,9446,1427,2301
-,-,-,-,-,-,50,9764,9983,25,32500,4425,2,2,175,-1,2,72,3544,112,147
60,-13,15,-,9385,-124,750,9280,9435,125,33000,2025,2,2,400,-1,2,68,4109,39,1168
144,-2,4,-,8850,750,625,8768,8977,50,33500,25,2,2,325,0,2,64,4388,113,475
580,-1,7,106,8500,30,625,8300,8403,125,34000,325,2,2,300,-1,2,61,3542,41,2693
271,-,2,98,7988,-6,125,7839,7906,125,34500,75,2,2,575,0,2,58,2021,67,1048
1398,-14,93,-,7380,-95,200,7365,7399,125,35000,1100,3,3,275,-1,3,55,5669,680,5185
-,-,-,-,-,-,750,7153,7371,900,35100,325,3,3,150,-1,2,53,57,24,61
-,-,-,-,-,-,750,7049,8351,750,35200,600,2,-,-,0,3,54,10,-,17
-,-,-,-,-,-,750,6948,7371,750,35300,600,2,-,-,-,-,-,-,-,18
-,-,-,-,-,-,750,6856,7073,900,35400,25,3,3,200,-1,3,52,34,-2,39
255,-,5,60,6900,-120,125,6865,6889,50,35500,1050,3,3,200,0,3,51,1895,47,1406
5,-,-,-,-,-,750,6526,7074,750,35600,225,2,-,-,-,-,-,-,-,22
-,-,-,-,-,-,750,6411,6953,750,35700,600,2,-,-,-,-,-,-,-,25
-,-,-,-,-,-,750,6455,6672,900,35800,100,3,3,100,-1,3,50,126,-10,71
-,-,-,-,-,-,750,6186,6982,750,35900,250,2,-,-,0,3,48,117,16,108
1888,-16,41,-,6360,-188,125,6369,6379,25,36000,600,3,3,2725,-1,3,48,7606,450,6215
-,-,-,-,-,-,750,6152,6373,900,36100,575,2,3,75,-1,2,46,235,9,97
-,-,-,-,-,-,750,5865,6296,750,36200,625,3,3,50,-2,3,47,312,4,65
-,-,-,-,-,-,750,5968,6200,750,36300,50,3,3,250,-1,3,46,300,10,73
-,-,-,-,-,-,750,5862,6094,750,36400,25,3,3,425,-4,3,45,319,-7,117
343,-8,15,37,5892,-208,300,5869,5886,25,36500,1200,3,3,1975,-1,3,45,5668,772,2832
2,-,-,-,-,-,200,5701,5852,200,36600,150,3,3,550,0,3,44,1171,416,484
-,-,-,-,-,-,200,5600,5753,200,36700,300,3,4,125,-1,3,44,589,48,98
2,-,-,-,-,-,200,5511,5664,200,36800,150,3,4,125,-2,3,42,978,85,212
3,-,-,-,-,-,750,5355,5572,900,36900,50,3,4,100,-3,3,42,524,49,115
1181,-39,64,-,5380,-177,125,5372,5391,25,37000,100,3,3,2700,-1,3,41,21673,3161,13828
-,-,-,-,-,-,125,5242,5351,450,37100,50,3,4,125,0,3,41,920,62,143
2,-,-,-,-,-,125,5144,5253,450,37200,225,3,3,250,-1,4,40,624,29,242
2,-,-,-,-,-,125,5044,5148,450,37300,25,3,4,600,-1,3,39,711,-47,104
3,-,-,-,-,-,125,4945,5050,450,37400,525,3,3,175,-1,3,39,590,29,116
406,-20,24,-,4876,-217,50,4873,4894,125,37500,450,3,3,225,-1,3,38,12654,-358,5086
1,-,-,-,-,-,450,4719,4847,450,37600,25,3,4,25,-2,4,37,1052,68,151
2,-,-,-,-,-,750,4579,4773,450,37700,75,3,4,75,-2,4,36,1248,-3,254
3,-,-,-,-,-,125,4549,4654,450,37800,25,3,4,250,-1,4,36,1538,73,241
7,-,-,-,-,-,125,4450,4556,450,37900,50,4,4,25,-1,4,35,1344,58,239
1603,-20,26,-,4343,-162,150,4375,4383,75,38000,1600,4,4,1175,-1,4,34,37347,-101,12998
13,-,-,-,-,-,750,4199,4351,450,38100,125,4,4,425,-2,4,34,2879,50,458
7,-,-,-,-,-,450,4117,4249,450,38200,25,4,4,100,-2,4,33,2171,190,330
13,-,-,-,-,-,225,4051,4140,350,38300,75,4,4,275,-2,4,32,3056,-1,297
8,-,-,-,-,-,450,3928,4047,450,38400,75,4,4,400,-2,4,32,2383,-11,194
639,-5,28,-,3864,-159,300,3877,3893,100,38500,1425,4,4,675,-2,4,31,51597,6046,17050
30,-,3,57,3934,-26,25,3768,3858,675,38600,700,4,4,1025,-2,4,30,4997,421,958
36,-,2,-,3650,-200,450,3629,3758,450,38700,350,4,4,825,-2,4,30,4302,426,712
103,-,-,-,-,-,25,3571,3655,700,38800,100,4,4,175,-2,4,29,3841,283,1049
26,-,2,58,3676,439,125,3470,3546,450,38900,1075,5,5,575,-2,5,28,7927,1115,1380
1845,-76,193,29,3401,-123,50,3383,3395,50,39000,5775,5,5,75,-2,5,28,96467,9523,35195
36,-,1,49,3413,57,75,3235,3344,500,39100,1200,5,5,600,-2,5,27,5508,400,969
116,-,1,48,3320,20,75,3169,3230,700,39200,275,5,5,300,-2,5,26,10275,865,2396
92,-,-,-,-,-,125,3055,3130,450,39300,1250,5,5,175,-2,5,26,9194,105,1282
60,-3,4,-,2996,-115,1950,2889,3079,1200,39400,1200,5,5,125,-2,5,25,10007,-46,1211
1838,-35,68,-,2890,-140,125,2882,2893,25,39500,725,5,5,2875,-2,5,25,84961,5033,25651
173,-5,6,38,2867,-60,75,2770,2815,175,39600,1025,6,6,375,-3,6,24,10879,1041,2580
699,-28,33,-,2646,-167,2175,2592,2693,300,39700,1450,6,6,300,-3,6,23,21146,-4021,3319
431,-14,26,22,2601,-120,75,2559,2636,1100,39800,2025,6,6,25,-3,6,23,23311,-1914,3036
615,-18,34,-,2488,-261,225,2472,2495,50,39900,25,7,7,1175,-3,7,22,29472,-446,4222
29581,-601,1109,-,2384,-165,125,2386,2389,375,40000,1075,7,7,5775,-3,7,22,175072,15208,75667
649,-58,64,-,2280,-151,75,2286,2302,50,40100,1875,8,8,125,-4,8,21,35651,725,4277
628,-24,32,-,2160,-157,50,2188,2198,75,40200,1200,9,9,850,-4,9,21,37613,2526,7397
334,-7,11,32,2187,-43,125,2090,2101,125,40300,3075,10,10,2075,-4,10,20,39965,3425,7337
698,-5,17,-,1942,-195,100,1992,2001,25,40400,100,11,11,400,-4,11,20,60482,5767,9852
3265,17,326,-,1897,-158,25,1893,1898,25,40500,325,12,12,700,-4,12,19,211180,24062,58475
514,28,65,27,1865,-104,150,1795,1800,50,40600,1525,13,13,25,-5,13,19,62109,3694,8546
504,-7,46,-,1696,-119,100,1697,1705,25,40700,275,15,15,1700,-5,15,18,62280,2205,7739
460,-15,71,-,1572,-214,100,1599,1606,50,40800,650,17,17,100,-5,17,18,99749,5571,13621
351,-7,19,-,1488,-171,25,1503,1513,25,40900,750,20,20,225,-6,20,17,80053,5638,11372
7865,-795,3218,16,1410,-152,25,1406,1409,250,41000,3750,23,24,650,-6,24,17,356830,23435,73172
441,-11,154,14,1315,-154,150,1311,1315,200,41100,250,27,27,75,-7,27,16,92243,3960,10432
1083,3,442,16,1220,-140,25,1216,1222,50,41200,1000,32,32,125,-8,32,16,139464,7407,18891
1324,-10,659,15,1123,-148,75,1123,1127,25,41300,75,39,39,100,-9,39,16,174782,2722,19123
1148,-41,615,13,1034,-134,25,1031,1035,100,41400,1675,47,47,50,-9,47,16,184173,-808,22371
13023,273,13791,15,943,-148,25,944,945,50,41500,25,57,58,75,-9,57,15,495147,28675,83084
1611,-62,2328,15,855,-141,25,855,857,50,41600,50,69,69,50,-8,69,15,290805,17696,29453
1576,489,2890,14,772,-143,25,770,772,125,41700,775,84,84,25,-8,84,15,278482,12379,24120
3034,1701,11186,14,687,-145,25,689,690,125,41800,75,103,103,25,-7,103,15,376675,18081,33586
3345,1873,17223,14,615,-138,25,611,612,125,41900,425,125,125,75,-4,125,15,362313,15215,25036
30602,11005,189379,14,539,-134,25,538,539,25,42000,25,151,151,900,1,151,14,827245,32858,99886
13993,10707,93557,14,470,-128,175,470,470,25,42100,75,182,183,50,5,183,14,379441,20949,29915
30729,22119,298732,14,407,-124,50,406,407,25,42200,50,219,219,25,9,219,14,637993,39756,57035
76420,62132,739691,14,348,-123,825,348,348,350,42300,250,261,261,125,15,260,14,1107240,54161,77460
100821,79724,1013773,14,295,-110,75,294,294,75,42400,25,307,307,200,23,307,14,1310695,36150,63865
225985,155555,1858696,14,245,-106,875,245,245,425,42500,150,358,359,150,34,358,14,1976164,63432,114150
96418,68100,914568,14,202,-99,25,202,202,25,42600,25,415,415,25,46,415,14,831273,16383,31153
56457,40346,600294,13,164,-88,50,164,164,75,42700,25,477,477,50,55,477,14,399541,10714,15720
57134,40180,539206,13,130,-77,50,130,131,75,42800,25,543,544,25,63,544,14,204459,6377,10366
36533,24151,377067,13,102,-67,25,102,102,75,42900,50,615,616,50,71,615,14,108510,5521,7093
125293,57051,773818,13,79,-58,100,79,79,225,43000,50,691,693,75,80,690,14,135105,7646,20224
42560,32221,340598,13,61,-47,500,61,61,350,43100,275,773,775,25,96,774,14,10362,1770,2289
46669,23020,382209,13,47,-39,25,47,47,425,43200,25,858,860,25,97,855,14,4453,388,989
33931,19731,340793,13,37,-30,25,37,37,1750,43300,25,948,950,25,109,948,13,2672,263,643
33128,17901,315084,13,29,-23,400,29,29,600,43400,25,1039,1041,50,111,1035,14,1893,135,409
75607,24208,569361,14,23,-18,2175,23,23,800,43500,25,1133,1135,25,123,1135,14,10096,600,3130
31444,13974,232637,14,18,-13,150,18,19,125,43600,50,1226,1232,25,118,1226,14,282,24,139
19110,7639,165853,14,15,-9,725,15,15,25,43700,50,1323,1328,25,218,1315,15,270,59,68
26557,4224,160093,14,13,-7,2700,13,13,725,43800,25,1421,1427,25,107,1424,18,34,-,40
15831,3269,101453,15,11,-5,450,11,11,1525,43900,25,1518,1524,25,-2600,1524,18,53,13,13
88957,36009,339860,15,10,-4,1625,10,10,6600,44000,25,1617,1622,25,137,1618,19,950,-31,1649
9540,5577,72299,16,9,-3,575,9,9,3025,44100,125,1702,1724,50,-2537,1735,21,39,8,8
11068,1077,68935,16,8,-2,575,8,8,4550,44200,125,1800,1824,150,129,1819,20,23,3,5
11248,6608,66207,17,7,-2,900,7,7,2000,44300,125,1893,1961,250,162,1935,23,24,2,2
8947,6288,63109,17,7,-2,3850,7,7,75,44400,2150,1943,2072,25,189,2061,27,11,1,4
66464,31926,223390,18,6,-2,3475,6,6,1050,44500,125,2110,2118,50,232,2108,20,20,2,229
63410,27633,204886,21,5,-1,5675,5,5,6425,45000,125,2607,2618,25,107,2594,-,86,-2,946
32407,21380,109026,24,4,0,4725,4,4,4400,45500,75,3096,3119,25,7,2945,-,13,-1,267
18500,6254,77736,26,4,0,1000,4,4,4675,46000,125,3596,3612,25,120,3618,34,16,4,496
9791,4052,54453,29,4,0,1950,4,4,1025,46500,125,4086,4120,25,173,4132,42,66,-27,481
9080,6267,58785,32,3,0,3125,3,3,4300,47000,125,4590,4623,75,11,4482,-,8,4,11
19034,15461,120893,34,3,0,1625,3,3,25,47500,75,5048,5124,75,-,-,-,-,-,-
